Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
1424,"Children,COVID-19,Elderly,Family,Food,Hongbao for Hope,Individual,Medical,Migrant Workers,New Start,Single Parents,Student,Thematic Campaign,Tuition Fees",2073.4,56
1426,"Children,Elderly,Lights for Hope,Medical,Private Campaign,Thematic Campaign",1452,18
1428,"Children,Foreign Domestic Workers,Hongbao for Hope,Lights for Hope,Medical,Thematic Campaign",534,6
1431,"Children,COVID-19,Elderly,Food,Fundraising,Lights for Hope,Medical,Migrant Workers,Thematic Campaign",1800,9
1433,"COVID-19,Family,Fundraising,Medical,Migrant Workers,Single Parents",943.2,12
1436,"Family,Migrant Workers",120.2,4
1446,"Children,Elderly,Family,Food,Medical,Migrant Workers",1200,12
1461,"Children,Individual,Medical,Student",200,4
1467,"Children,Elderly,Family,Hongbao for Hope,Individual,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Student,Thematic Campaign,Tuition Fees,Women",17246.6,56
1495,"COVID-19,Family,Fundraising,Individual,Migrant Workers,Student,Tuition Fees",1428.7,7
1498,"Children,COVID-19,Elderly,Fundraising,Medical,Migrant Workers,Thematic Campaign",770,7
1500,"Children,Family,Medical,Single Parents",640,4
1502,"Children,Elderly,Food,Fundraising,Lights for Hope,Medical,Thematic Campaign",770,14
1503,"Children,Elderly,Family,Foreign Domestic Workers,Lights for Hope,Medical,Migrant Workers,Thematic Campaign",1408,16
1505,"Elderly,Family,Food,Hongbao for Hope,Individual,Lights for Hope,Single Parents,Thematic Campaign",1387.2,24
1513,"Children,Lights for Hope,Medical,Private Campaign,Thematic Campaign",165,5
1518,"Children,Elderly,Food,Hongbao for Hope,Lights for Hope,Medical,Thematic Campaign",908.6,14
1520,"Children,COVID-19,Family,Foreign Domestic Workers,Homeless,Hongbao for Hope,Lights for Hope,Living Expenses,Medical,Migrant Workers,Private Campaign,Single Parents,Thematic Campaign",280.8,26
1530,"Children,Children of drug offenders,COVID-19,Elderly,Family,Food,Fundraising,Giving Circle,Homeless,Lights for Hope,Migrant Workers,Special Needs,Thematic Campaign",922.74,91
1532,"COVID-19,Fundraising,Migrant Workers",153.75,3
1543,"Migrant Workers,Single Parents",110,2
1544,"Children,Medical,Migrant Workers",600,3
1550,"Migrant Workers,Women",204,2
1558,"COVID-19,Fundraising,Hongbao for Hope,Private Campaign,Thematic Campaign",100,5
1567,"Children,COVID-19,Elderly,Family,Hongbao for Hope,Medical,Migrant Workers,Special Needs,Thematic Campaign",2815.2,18
1583,"Children,Medical,Special Needs",33,3
1584,"Medical,Special Needs",220,2
1591,"Children,COVID-19,Elderly,Family,Fundraising,Medical,Migrant Workers,Single Parents",1290,16
1599,"Children,Medical,Special Needs",165,3
1613,"Children,COVID-19,Fundraising,Medical,Migrant Workers",110,5
1622,"Accident,Children,COVID-19,Fundraising,Medical,Migrant Workers",328.8,6
1639,"Children,Medical",200,2
1657,"COVID-19,Migrant Workers",540,2
1674,"Children,COVID-19,Fundraising,Medical,Private Campaign",1080,5
1682,"Children,COVID-19,Fundraising,Medical,Private Campaign",100,5
1693,"COVID-19,Fundraising,Private Campaign",330,3
1704,"Children,COVID-19,Elderly,Food,Fundraising,Medical,Migrant Workers,Private Campaign",440,8
1708,Migrant Workers,55,1
1709,"Children,COVID-19,Family,Food,Medical,Single Parents",300,6
1723,"Children,Family,Medical",315,6
1739,"Children,COVID-19,Family,Food,Fundraising,Medical,Private Campaign",770,7
1740,"Children,Family,Medical",312,6
1783,"Accident,COVID-19,Fundraising,Private Campaign",210,4
1785,"Children,COVID-19,Family,Food,Fundraising,Giving Circle,Homeless,Hongbao for Hope,Living Expenses,Migrant Workers,Single Parents,Special Needs,Thematic Campaign",2555.8,26
1791,"Children,Family,Migrant Workers,Thematic Campaign",219.2,4
1819,"COVID-19,Fundraising,Migrant Workers,Private Campaign",816.4,4
1835,"Children,COVID-19,Fundraising,Medical,Private Campaign",500,5
1854,"Children,COVID-19,Elderly,Family,Food,Medical,Migrant Workers,Single Parents",800,8
1869,"Children,COVID-19,Fundraising,Medical,Private Campaign",275,5
1870,"Children,Family,Food,Medical,Raya For Hope,Single Parents,Special Needs,Thematic Campaign",3440,56
1924,"Children,COVID-19,Fundraising,Medical,Private Campaign",15350,15
1935,"Children,COVID-19,Fundraising,GIC,Private Campaign",825,5
1942,"Children,COVID-19,Fundraising,Medical,Private Campaign",500,5
1961,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",1260,12
1974,"Children,COVID-19,Family,Food,Medical,Single Parents",120,6
1985,"Children,COVID-19,Fundraising,Medical,Private Campaign",50,5
1995,"COVID-19,Fundraising,Private Campaign,Single Parents",352,4
1998,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign",60,6
2019,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign,Women",735,14
2041,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",126,6
2071,"Children,COVID-19,Fundraising,Medical,Private Campaign",2635.2,10
2073,"COVID-19,Fundraising,Private Campaign,Special Needs",400,4
2085,"Children,COVID-19,Migrant Workers,Single Parents",200,4
2089,"Children,COVID-19,Elderly,Family,Fundraising,Migrant Workers,Private Campaign,Special Needs",878.4,8
2101,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",630,6
2118,"COVID-19,Family,Fundraising,Private Campaign",200,4
2123,"COVID-19,Fundraising,Migrant Workers",153.75,3
2125,"COVID-19,Fundraising,Private Campaign,Women",2039.2,4
2133,"Children,COVID-19,Fundraising,Medical,Private Campaign",150,5
2136,"Accident,COVID-19,Fundraising,Private Campaign",420,4
2146,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign",60,6
2154,"Children,COVID-19,Fundraising,Medical,Private Campaign",1620,5
2163,"COVID-19,Fundraising,Migrant Workers,Private Campaign,Women",274,5
2202,"Children,COVID-19,Fundraising,Private Campaign,Single Parents",131.95,10
2203,"Children of drug offenders,COVID-19,Fundraising,Private Campaign",2464,8
2215,"Children,COVID-19,Family,Fundraising,Medical,Migrant Workers,Private Campaign",350,7
2244,"Accident,COVID-19,Family,Fundraising,Individual,Lights for Hope,Migrant Workers,Private Campaign,Single Parents",4878,27
2255,"Children,COVID-19,Fundraising,Medical,Private Campaign",250,5
2268,"Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Homeless,Living Expenses,Medical,Private Campaign,Single Parents",1320,12
2272,"Accident,Charities,COVID-19,Fundraising,Giving Circle,Hongbao for Hope,Living Expenses,Migrant Workers,Private Campaign,Single Parents,Thematic Campaign,Women",18349.2,24
2282,"Children,COVID-19,Fundraising,Medical,Private Campaign",55,5
2298,"Accident,COVID-19,Fundraising,Private Campaign",219.2,4
2304,"Children,COVID-19,Fundraising,Medical,Private Campaign",250,5
2317,"COVID-19,Fundraising,Migrant Workers,Private Campaign,Women",549,5
2332,"COVID-19,Fundraising,Migrant Workers,Private Campaign",205,4
2336,"Children,COVID-19,Fundraising,Medical,Private Campaign",550,5
2337,"Children,COVID-19,Fundraising,Medical,Private Campaign",1050,5
2348,"COVID-19,Fundraising,Living Expenses,Medical,Private Campaign",550,5
2374,"COVID-19,Fundraising,Migrant Workers,Private Campaign",82.72,4
2376,"Children,COVID-19,Fundraising,Living Expenses,Medical,Private Campaign",660,6
2383,"Children,COVID-19,Fundraising,GIC,Migrant Workers,Private Campaign",600,6
2384,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign",3000,6
2393,"COVID-19,Fundraising,Hongbao for Hope,Private Campaign,Thematic Campaign",1033,5
2407,"COVID-19,Fundraising,Migrant Workers,Private Campaign",408.8,4
2411,"Children,COVID-19,Family,Fundraising,Medical,Migrant Workers,Private Campaign,Single Parents",30240,8
2426,"COVID-19,Fundraising,Private Campaign",330,3
2434,"Children,COVID-19,Fundraising,Medical,Private Campaign",1050,5
2435,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign",300,6
2441,"COVID-19,Fundraising,Private Campaign",329.4,3
2443,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",1296,6
2451,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign,Special Needs",700,7
2474,"ADHD,COVID-19,Fundraising,Private Campaign",2960,28
2477,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign",600,6
2496,"COVID-19,Family,Fundraising,Private Campaign",8800,4
2526,"COVID-19,Fundraising,Private Campaign,Special Needs",439.2,4
2527,"Accident,Children,COVID-19,Fundraising,Medical,Private Campaign",315,6
2530,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",600,6
2531,"Children,COVID-19,Family,Fundraising,Medical,Private Campaign",660,6
2555,"Accident,COVID-19,Fundraising,Private Campaign",200,4
2559,"COVID-19,Fundraising,Migrant Workers,Private Campaign",205,4
2564,"Children,COVID-19,Fundraising,Living Expenses,Medical,Private Campaign",330,6
2566,"Children,COVID-19,Fundraising,Medical,Private Campaign",250,5
2576,"COVID-19,Fundraising,Hongbao for Hope,Private Campaign,Thematic Campaign",1555.2,5
2579,"COVID-19,Fundraising,Medical,Private Campaign",220,4
2583,"COVID-19,Fundraising,Migrant Workers,Private Campaign",40,4
2593,"Children of drug offenders,COVID-19,Fundraising,Private Campaign",87.2,4
2607,"Children,COVID-19,Fundraising,Hongbao for Hope,Medical,Private Campaign,Thematic Campaign",294,14
2618,"COVID-19,Fundraising,Private Campaign",3000,3
2632,"Accident,COVID-19,Foreign Domestic Workers,Medical,Migrant Workers",350,5
2633,"Children,COVID-19,Fundraising,Medical,Private Campaign",275,5
2635,"Children,COVID-19,Family,Fundraising,Medical,Migrant Workers,Private Campaign",1435,21
2644,"Children,Individual,Medical,Student",40,4
2647,"Children,Medical,Migrant Workers",615,3
2656,"Children,Family,Food,Medical,Single Parents",275,5
2659,"Children,COVID-19,Family,Fundraising,Medical,Migrant Workers",330,6
2668,"Children,COVID-19,Elderly,Family,Fundraising",1080,5
2675,"Children,Medical,Tuition Fees",33,3
2686,"Accident,Help Save Singaporeâ€™s Hardest Hit Families",102,2
2688,"Children,Elderly,Family,Migrant Workers,Single Parents",1827.75,30
2697,"Accident,COVID-19,Fundraising,Migrant Workers,Women",1049,10
2704,"COVID-19,Fundraising,Migrant Workers,Private Campaign",408.8,4
2717,"COVID-19,Fundraising,Private Campaign",18000,3
2719,"COVID-19,Fundraising,Migrant Workers,Private Campaign",205,4
2723,"Children,COVID-19,Fundraising,Medical,Private Campaign",550,5
2749,"COVID-19,Fundraising,Private Campaign",164.4,3
2751,"COVID-19,Fundraising,Hongbao for Hope,Private Campaign,Thematic Campaign",44,5
2768,"COVID-19,Medical,Migrant Workers",329.4,3
2769,"Children,Individual,Medical,Student",110,4
2773,"Children,COVID-19,Family,Medical,Migrant Workers",100,5
2779,"Accident,Children,Family,Medical,Single Parents,Special Needs",262.8,12
2790,"Children,Family,Medical,Single Parents,Special Needs",130,10
2799,"Children,Foreign Domestic Workers,Fundraising,Medical",80,4
2807,Migrant Workers,54.8,1
2808,"Children,COVID-19,Medical,Migrant Workers",120,4
2813,"Children,Family,Medical",45,3
2815,"Children,COVID-19,Medical,Migrant Workers",400,4
2831,"Accident,Children,Family,Migrant Workers,New Start",1080,5
2840,"Children,Family,Medical,Thematic Campaign",480,8
2849,"Children,COVID-19,GIC,Migrant Workers",20000,4
2856,"Accident,COVID-19,Migrant Workers",32.4,3
2862,"Accident,Children,COVID-19,Medical,Migrant Workers,Women",235.2,24
2863,"Children,COVID-19,Medical,Migrant Workers",44,4
2867,"Children,Elderly,Family,Food,Medical,Raya For Hope,Single Parents",1449,21
2889,"Children,COVID-19,Medical,Migrant Workers",44,4
2893,"Children,COVID-19,Medical,Migrant Workers",420,8
2894,"COVID-19,Migrant Workers,Private Campaign",612.3,3
2896,"Children,Elderly,Family,Medical,Single Parents,Special Needs,Women",77,7
2899,"Children,Elderly,Family,Medical,Single Parents,Special Needs",330,6
2903,"Children,COVID-19,Family,Fundraising,Medical,Migrant Workers",6240,6
2913,"Accident,Children,COVID-19,Medical,Migrant Workers",460,15
2919,"Children,COVID-19,Medical,Migrant Workers",42,4
2944,"Children,COVID-19,Medical,Migrant Workers",400,4
2951,"Children,COVID-19,Medical,Migrant Workers,Private Campaign",3000,10
2969,"Children,COVID-19,Medical,Migrant Workers",220,4
2981,"Children,COVID-19,Medical,Migrant Workers",220,4
2993,"Children,COVID-19,Family,Medical,Migrant Workers,Single Parents,Special Needs",16982,42
3013,"Children,Family,Medical,Migrant Workers",600,8
3014,"Children,COVID-19,Medical,Migrant Workers",6420,8
3017,"Accident,Children,COVID-19,Family,Fundraising,Medical,Migrant Workers",733.6,14
3019,"Children,COVID-19,Medical,Migrant Workers",800,4
3023,"Charities,Children,COVID-19,Medical,Migrant Workers",525,10
3027,"Children,COVID-19,Medical,Migrant Workers",220,4
3036,"Accident,Children,COVID-19,Family,Medical,Migrant Workers,Raya For Hope,Thematic Campaign",6160,8
3048,"COVID-19,Migrant Workers",110,2
3049,"Children,COVID-19,Medical,Migrant Workers",400,4
3052,"Children,COVID-19,Medical,Migrant Workers",440,4
3056,"Children,COVID-19,Elderly,Fundraising,Medical,Migrant Workers",132,6
3063,"Children,COVID-19,Medical,Migrant Workers",200,4
3074,"Children,COVID-19,Medical,Migrant Workers",123.48,4
3102,"Children,COVID-19,Elderly,Food,Fundraising,Medical,Migrant Workers",283.43,14
3105,"Children,Family,Medical,Migrant Workers,Single Parents,Women",120,6
3110,"Children,COVID-19,Medical,Migrant Workers",220,4
3111,"Children,COVID-19,Fundraising,Medical,Migrant Workers",275,5
3126,"Children,COVID-19,Family,Medical,Migrant Workers",1000,5
3136,"Accident,Children,COVID-19,Family,Medical,Migrant Workers",250.8,18
3149,"Children,Medical,Migrant Workers",150,3
3165,"Children,COVID-19,Medical,Migrant Workers",44,4
3172,"Children,Medical",22,2
3175,"Children,COVID-19,Family,Food,Migrant Workers,Raya For Hope,Special Needs,Thematic Campaign",5616,24
3176,"Children,COVID-19,Family,Medical,Migrant Workers",100,5
3178,"Children,COVID-19,Medical,Migrant Workers",40,4
3189,"Children,COVID-19,Medical,Migrant Workers",44,4
3195,"Children,COVID-19,Medical,Migrant Workers",200,4
3205,"Children,Family,Medical",264,9
3206,"Accident,Children,COVID-19,Elderly,Family,Food,Fundraising,Migrant Workers",400,8
3211,"COVID-19,Family,Migrant Workers,Single Parents,TMT",75000,10
3215,"COVID-19,Fundraising,Migrant Workers,Ray of Hope 10th Anniversary",338.8,4
3222,"Children,COVID-19,Medical,Migrant Workers",52.8,4
3228,"Children,COVID-19,Medical,Migrant Workers",220,4
3238,"Children,COVID-19,Family,Medical,Migrant Workers",250,5
3239,"Children,COVID-19,Family,Medical,Migrant Workers,Student,Tuition Fees",231,7
3243,"Children,COVID-19,Medical,Migrant Workers",200,4
3253,"COVID-19,Migrant Workers,Women",60,3
3316,"Children,COVID-19,Medical,Migrant Workers",80,4
3324,"Children,COVID-19,Fundraising,Medical,Migrant Workers,Women",600,6
3338,"Children,COVID-19,Medical,Migrant Workers,Private Campaign",5911,10
3340,"COVID-19,Fundraising,Migrant Workers",30,3
3346,"Children,COVID-19,Elderly,Family,Food,Medical,Migrant Workers",350,7
3349,"COVID-19,Migrant Workers,Women",150,3
3353,"Children,COVID-19,Medical,Migrant Workers",132,4
3355,"Children,COVID-19,Family,Medical,Migrant Workers",800,10
3358,"COVID-19,Fundraising,Migrant Workers",612.3,3
3367,"COVID-19,Fundraising,Migrant Workers",306.6,3
3381,"Children,COVID-19,Fundraising,Medical,Migrant Workers",110,5
3394,"COVID-19,Fundraising,Migrant Workers,Women",13045.6,8
3396,"Children,Medical",110,2
3410,"COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",549,5
3411,"Children,Elderly,Food,Fundraising,Medical",1500,15
3414,"Children,COVID-19,Elderly,Food,Fundraising,Medical,Migrant Workers",1512,7
3439,"Children,Medical",1200,4
3448,"Children,Medical",400,2
3452,"Accident,Children,COVID-19,Family,Medical,Migrant Workers",1888.8,18
3457,"Accident,COVID-19,Fundraising,Migrant Workers",439.2,4
3458,"Accident,COVID-19,Fundraising,Migrant Workers,Women",328,10
3461,"Children,Medical",210,4
3468,"Accident,Medical",40,2
3470,"Children,Family,Medical",33,3
3472,"Accident,Children,Elderly,Food,Foreign Domestic Workers,Fundraising,Medical",1855,28
3478,"Children,Medical,Migrant Workers",930,6
3482,"Children,COVID-19,Family,Fundraising,Medical,Migrant Workers",120,6
3490,"Children,COVID-19,Elderly,Family,Food,Fundraising,Medical,Migrant Workers",2512.8,16
3493,"Accident,Medical",23.76,2
3496,"Children,Medical",604,4
3505,"Children,Medical",22,2
3507,"Children,Medical",110,2
